gdd,rain_flowering,rain_season,temp_max_mean,yield_t_ha
1709.61,36.88,202.26,27.52,10.25
1633.41,28.56,274.15,27.71,10.28
1727.72,36.83,216.27,32.69,5.94
1832.76,43.15,238.27,29.0,9.67
1621.9,35.73,393.88,30.41,9.53
1621.9,35.61,367.24,27.58,9.47
1839.51,24.47,156.03,27.6,10.02
1742.09,25.06,326.38,30.95,10.0
1593.66,13.96,324.91,26.57,11.41
1715.11,61.24,168.14,28.25,8.86
1594.39,16.34,325.5,29.06,11.08
1594.11,24.61,383.03,29.2,9.41
1679.04,24.22,170.2,28.68,10.48
1420.41,48.42,186.6,29.71,7.92
1443.01,30.58,341.41,30.25,9.48
1582.53,53.72,281.72,30.32,8.51
1528.46,24.9,304.12,27.23,10.99
1687.71,39.18,287.25,28.49,9.63
1541.04,22.47,291.26,31.15,9.23
1480.52,67.18,153.88,30.61,7.11
1825.88,17.19,343.79,26.53,11.0
1622.91,39.65,353.57,29.63,9.77
1658.1,44.51,241.65,25.44,8.29
1479.03,41.21,256.52,29.08,9.3
1584.67,32.22,137.51,32.42,6.58
1663.31,33.05,301.14,27.29,10.44
1511.88,35.66,305.76,27.5,9.95
1695.08,32.79,255.02,30.38,9.91
1577.92,49.46,349.95,26.22,9.94
1615.0,68.16,233.27,27.86,8.29
1577.8,26.64,305.17,30.07,10.24
1872.27,14.45,178.43,27.86,10.25
1648.38,33.68,258.12,28.58,10.45
1523.07,73.7,246.05,30.34,8.13
1748.71,22.94,278.02,29.76,9.18
1503.5,59.59,230.44,29.48,8.62
1675.06,60.17,249.48,28.39,9.08
1414.84,26.7,326.08,29.67,9.17
1490.62,43.53,225.06,28.78,10.04
1673.62,59.43,131.47,29.82,8.04
1738.62,29.31,399.97,28.11,10.58
1670.56,31.95,370.52,28.67,10.68
1636.12,26.27,156.62,27.22,10.25
1613.87,19.78,315.18,28.94,10.49
1472.58,25.26,219.76,27.54,10.47
1563.62,16.64,281.08,26.99,10.7
1594.72,35.51,283.54,29.47,8.43
1776.85,23.45,241.25,29.38,10.1
1691.23,38.51,197.3,30.41,8.65
1438.44,11.66,204.76,28.22,10.35
1688.89,39.96,186.7,29.73,7.74
1603.79,47.5,193.45,29.99,10.29
1568.77,5.09,254.63,29.8,10.62
1723.4,40.61,202.74,27.51,9.96
1773.72,53.42,314.56,29.27,10.56
1761.75,16.86,378.98,29.66,12.41
1549.29,60.09,213.6,29.01,9.29
1612.89,41.29,279.15,25.24,9.34
1689.75,24.42,299.97,29.29,10.52
1767.07,34.16,297.76,32.98,6.78
1592.5,43.37,266.08,28.35,9.44
1627.72,36.14,319.41,27.69,9.75
1517.24,43.08,298.58,29.67,8.86
1506.46,21.19,160.99,29.56,8.6
1747.5,37.54,329.53,31.15,9.03
1812.75,13.79,330.98,26.74,10.19
1641.36,33.33,198.94,30.32,9.21
1770.42,21.44,263.04,30.06,10.17
1693.4,23.97,314.67,28.74,10.78
1572.59,53.54,243.25,29.61,8.6
1693.37,51.37,345.84,30.85,10.7
1834.56,44.14,449.11,30.57,10.88
1645.7,18.62,197.12,26.94,9.43
1837.76,30.25,149.52,30.48,9.5
1335.63,53.2,284.31,28.88,8.4
1748.63,37.13,317.73,29.13,9.73
1660.45,69.79,241.53,29.13,8.03
1614.12,40.9,376.26,28.73,10.49
1661.01,37.88,152.91,31.15,7.74
1411.49,30.36,315.43,28.85,10.35
1623.64,37.0,211.53,26.98,10.24
1692.85,32.71,397.55,28.29,11.65
1827.35,45.62,419.4,29.32,10.1
1587.81,49.35,198.67,31.21,8.02
1552.98,23.21,216.04,30.09,9.78
1589.79,15.03,328.77,27.47,10.51
1759.85,7.46,229.03,33.47,6.14
1689.45,42.62,256.37,29.48,10.61
1586.43,18.45,262.03,31.3,8.97
1711.59,5.0,106.43,28.73,10.86
1661.65,40.83,258.89,29.96,8.9
1766.24,72.39,204.82,30.51,7.39
1565.75,34.91,220.55,31.19,7.88
1610.68,47.58,375.49,30.9,8.76
1602.95,36.23,159.48,30.57,7.93
1474.38,33.52,325.06,28.43,9.95
1685.53,48.79,237.68,27.97,8.69
1681.33,30.65,237.62,29.6,9.18
1650.61,39.01,323.23,30.68,9.57
1621.85,39.83,287.2,28.6,10.32
1480.16,24.98,305.65,30.92,8.66
1599.52,49.88,337.45,31.61,7.28
1608.87,32.38,233.5,27.35,9.31
1553.73,23.66,211.02,27.49,9.76
1630.65,43.05,173.19,28.75,9.78
1698.49,21.52,193.97,29.55,10.57
1876.34,35.42,495.93,28.06,11.31
1670.95,34.86,359.57,31.43,8.11
1680.91,51.29,151.91,29.76,8.97
1641.07,42.12,154.2,29.07,8.79
1419.75,34.62,298.55,26.42,9.02
1646.82,47.27,303.78,26.63,10.43
1657.23,55.85,303.91,29.51,9.84
1900.0,43.37,239.6,25.16,9.29
1626.92,35.16,249.96,30.82,8.05
1686.19,15.32,286.23,28.72,10.95
1645.83,19.02,266.87,34.0,5.85
1509.76,30.42,82.46,33.15,4.98
1787.14,25.86,241.62,28.67,11.4
1740.23,32.2,191.89,28.81,10.83
1744.92,35.85,274.02,30.79,10.21
1540.87,42.95,498.82,32.07,8.26
1818.34,33.94,289.4,26.05,10.47
1481.78,42.3,234.92,25.78,9.49
1720.42,35.97,333.74,27.88,10.82
1900.0,5.37,298.62,30.05,10.85
1531.14,20.91,293.61,29.89,9.57
1582.04,32.84,308.55,30.93,9.06
1661.96,16.85,424.52,26.84,10.37
1589.58,44.0,169.53,24.83,7.74
1463.92,57.96,297.89,30.54,8.8
1658.23,53.28,185.89,27.51,7.94
1522.52,31.8,304.44,25.37,9.95
1706.83,57.36,186.51,29.26,9.73
1539.67,37.23,226.61,30.43,8.48
1835.99,29.94,236.39,28.78,10.87
1556.01,25.8,338.07,28.18,10.47
1611.35,30.46,333.48,28.71,11.11
1747.62,29.18,160.34,28.33,10.71
1502.3,37.56,264.39,26.57,8.54
1677.3,37.41,203.23,27.71,10.22
1806.86,35.05,159.32,29.94,9.42
1457.1,41.55,242.64,29.58,9.04
1672.16,52.86,235.32,29.3,8.84
1681.19,49.24,454.14,27.21,11.5
1743.82,12.73,294.64,28.67,11.71
1501.57,5.0,149.79,25.08,8.48
1491.55,49.01,214.82,29.32,8.06
1712.63,14.5,341.71,31.57,9.07
1685.64,31.63,427.08,26.35,10.82
1680.06,17.45,133.12,27.95,10.35
1691.57,7.97,109.61,29.59,10.8
1568.4,43.12,409.68,31.26,9.15
1677.87,46.39,291.17,28.19,10.54
1685.17,26.35,190.54,27.75,10.37
